"tokenid","total_score","residential_score","commercial_score","industrial_score","residential_boost","commercial_boost","industrial_boost","residential_buildings","commercial_buildings","industrial_buildings","public_buildings","hospital","police station","fire station","school","university","town hall","metpot casino","wildlife waystation","circ-o-verse","bus stop","subway station","metaxi station","football stadium","baseball stadium","soccer stadium","wind farm","solar farm","nuclear power plant","metroverse theatre","metroverse museum","metcinema","cylinder mansion","organic mansion","winter mega-mansion","rocket launch site","crypto mining facility","unbelievaltable","cemetery","ethrash","sewage treatment","rail-x-rail","river-x-river"
1984,319,73,117,129,0.07,0.07,0.13,9,13,15,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1985,253,104,89,60,0.29,0.28,0.16,11,10,8,7,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1986,339,85,112,142,0.13,0.09,0.09,8,11,10,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1987,315,89,71,155,0.11,0.07,0.07,12,10,12,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1988,346,115,74,157,0.12,0.12,0.12,12,7,12,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1989,317,152,78,87,0.07,0.07,0.03,14,8,12,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1990,345,131,101,113,0.21,0.19,0.16,12,10,10,5,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1991,308,100,113,95,0.15,0.11,0.13,9,12,10,6,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1992,339,65,164,110,0.23,0.19,0.16,7,11,11,6,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1993,340,81,163,96,0.21,0.21,0.21,7,13,11,5,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,258,68,95,95,0.33,0.3,0.2,9,7,9,7,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1995,303,92,106,105,0.16,0.16,0.16,10,12,13,4,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,242,80,93,69,0.1,0.06,0.11,11,9,9,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,259,79,109,71,0.22,0.18,0.12,6,12,8,5,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1998,281,118,109,54,0.2,0.16,0.11,10,11,8,5,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1999,320,98,84,138,0.21,0.2,0.11,8,7,14,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2000,302,70,109,123,0.06,0.06,0.03,11,12,14,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,308,99,95,114,0.16,0.12,0.12,11,8,15,4,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,300,47,110,143,0.21,0.17,0.19,6,11,11,7,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2003,321,109,87,125,0.11,0.11,0.17,10,10,11,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2004,264,90,92,82,0.3,0.29,0.2,10,9,10,7,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2005,314,58,132,124,0.13,0.12,0,6,10,12,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2006,315,98,146,71,0.1,0.1,0.1,9,14,10,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2007,291,78,48,165,0.14,0.14,0.18,10,4,18,5,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008,323,58,89,176,0.16,0.16,0.13,9,9,13,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2009,268,93,98,77,0.18,0.17,0.07,9,10,7,4,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,288,119,94,75,0.16,0.12,0.09,10,10,6,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
2011,282,87,140,55,0.18,0.14,0.07,9,12,6,5,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012,328,97,120,111,0.15,0.15,0.12,12,12,12,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013,358,121,107,130,0.09,0.09,0.06,11,9,13,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014,329,81,116,132,0.16,0.12,0.07,8,10,10,4,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015,309,60,127,122,0.08,0.08,0.08,9,13,13,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,265,78,101,86,0.28,0.24,0.21,9,11,9,7,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2017,332,119,112,101,0.13,0.09,0.09,11,11,12,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2018,312,126,104,82,0.18,0.17,0.09,11,11,10,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
2019,353,107,124,122,0.14,0.14,0.11,12,11,14,4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2020,300,127,84,89,0.22,0.22,0.16,13,9,9,5,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,266,131,68,67,0.15,0.15,0.17,11,7,9,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2022,261,108,90,63,0.24,0.2,0.13,10,8,8,6,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2023,280,67,118,95,0.24,0.21,0.16,6,10,8,5,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2024,300,122,105,73,0.07,0.07,0,11,11,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2025,283,87,80,116,0.07,0.07,0.13,13,8,14,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2026,263,97,83,83,0.17,0.16,0.08,11,11,12,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2027,333,65,98,170,0.12,0.12,0.08,7,9,12,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2028,305,74,148,83,0.25,0.25,0.2,9,13,7,6,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2029,323,108,107,108,0.15,0.11,0.13,10,11,10,6,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2030,275,118,79,78,0.34,0.34,0.25,12,8,8,8,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,316,89,62,165,0.17,0.13,0.06,10,7,12,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2032,318,50,135,133,0.18,0.14,0.07,5,14,12,5,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2033,284,74,130,80,0.1,0.09,0,10,11,8,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2034,293,132,113,48,0.16,0.12,0.05,14,11,7,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2035,339,154,137,48,0.19,0.15,0.12,12,15,4,5,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2036,346,115,143,88,0.15,0.15,0.08,8,11,10,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
2037,282,110,95,77,0.16,0.15,0.03,9,11,9,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2038,293,85,100,108,0.11,0.11,0.17,10,13,10,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
2039,288,41,155,92,0.13,0.13,0.08,7,14,8,3,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2040,274,83,96,95,0.27,0.23,0.21,9,9,11,6,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2041,278,147,64,67,0.3,0.26,0.23,12,6,11,7,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2042,272,66,127,79,0.16,0.16,0.07,8,11,10,4,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2043,304,100,115,89,0.15,0.11,0.08,11,11,11,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2044,274,102,96,76,0.13,0.09,0.18,11,11,8,5,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2045,284,111,62,111,0.21,0.16,0.08,10,5,10,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2046,286,121,80,85,0.23,0.23,0.2,9,7,10,5,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2047,304,87,120,97,0.11,0.11,0.07,10,11,14,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2048,313,92,121,100,0.16,0.16,0.22,8,13,10,6,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2049,254,76,89,89,0.2,0.2,0.15,11,11,11,5,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,309,81,98,130,0.21,0.21,0.17,8,11,12,5,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2051,268,92,127,49,0.14,0.14,0.11,11,12,8,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2052,285,101,78,106,0.16,0.12,0.12,11,8,11,4,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2053,322,116,88,118,0.14,0.14,0.07,11,11,14,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2054,282,94,82,106,0.25,0.24,0.16,10,9,12,6,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2055,280,118,79,83,0.12,0.11,0.11,12,6,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
2056,291,88,87,116,0.12,0.12,0.08,12,10,9,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2057,304,113,79,112,0.14,0.14,0.14,13,9,10,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2058,300,138,90,72,0.2,0.2,0.17,13,11,10,5,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2059,336,65,130,141,0.19,0.15,0.12,10,13,9,5,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2060,334,155,60,119,0.14,0.14,0.07,12,8,11,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2061,289,98,58,133,0.15,0.15,0.17,8,6,13,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
2062,261,63,68,130,0.16,0.16,0.11,10,9,13,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2063,286,84,89,113,0.19,0.19,0.12,13,12,9,5,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2064,323,141,59,123,0.11,0.07,0.13,11,9,11,5,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2065,310,57,92,161,0.17,0.14,0.14,5,8,14,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0
2066,263,79,116,68,0.26,0.22,0.13,8,11,9,6,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2067,305,90,79,136,0.14,0.14,0.07,9,9,14,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2068,340,130,141,69,0.14,0.14,0.07,12,10,9,4,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2069,271,76,131,64,0.17,0.15,0.17,9,14,8,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2070,350,116,137,97,0.1,0.1,0.07,10,12,12,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2071,344,80,139,125,0.19,0.15,0.12,9,13,11,5,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2072,303,85,99,119,0.04,0.04,0.1,10,11,8,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2073,257,108,82,67,0.16,0.12,0.07,13,12,9,4,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2074,274,128,66,80,0.17,0.16,0.07,14,7,11,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2075,336,95,128,113,0.12,0.12,0.09,10,12,12,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2076,288,47,120,121,0.15,0.14,0.18,6,11,11,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2077,288,79,84,125,0.13,0.12,0.03,9,10,12,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2078,329,147,82,100,0.17,0.17,0.14,11,9,9,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2079,292,113,86,93,0.18,0.14,0.07,11,11,8,5,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2080,315,116,66,133,0.13,0.13,0.09,13,9,13,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2081,268,77,114,77,0.24,0.19,0.07,10,12,8,6,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2082,312,59,130,123,0.16,0.16,0.13,6,13,10,4,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2083,265,91,93,81,0.2,0.2,0.13,10,9,8,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2084,354,92,148,114,0.13,0.13,0.13,8,13,10,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2085,325,83,136,106,0.19,0.19,0.12,9,11,8,5,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2086,341,52,106,183,0,0,0.15,8,11,12,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
2087,321,94,100,127,0.2,0.16,0.12,8,10,14,5,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2088,317,112,155,50,0.18,0.18,0.11,9,15,8,5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2089,303,64,155,84,0.17,0.11,0.08,8,14,10,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
2090,311,110,107,94,0.11,0.11,0.13,12,13,7,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2091,331,94,90,147,0.17,0.13,0.22,11,8,9,6,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2092,313,109,101,103,0.1,0.09,0.04,7,10,12,2,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2093,321,184,64,73,0.16,0.16,0.13,15,8,9,4,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2094,338,64,114,160,0.1,0.1,0.07,7,10,15,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2095,266,78,110,78,0.13,0.08,0.03,11,13,9,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2096,323,88,172,63,0.2,0.19,0.07,11,11,10,5,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2097,383,107,135,141,0.27,0.23,0.16,9,10,11,7,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2098,313,109,97,107,0.11,0.11,0.08,11,12,12,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2099,305,87,110,108,0.16,0.16,0.09,8,11,13,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,257,98,106,53,0.13,0.12,0.09,11,11,8,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2101,305,71,126,108,0.24,0.18,0.15,9,12,11,6,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2102,362,91,131,140,0,0,0.09,7,10,8,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
2103,305,109,105,91,0.15,0.15,0.12,10,10,12,4,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2104,284,89,100,95,0.2,0.2,0.16,10,12,11,5,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2105,311,63,123,125,0.18,0.18,0.24,5,11,11,6,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2106,316,104,96,116,0.16,0.12,0.18,8,10,10,6,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2107,310,105,92,113,0.23,0.19,0.16,12,6,11,6,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2108,321,156,81,84,0.3,0.24,0.17,11,9,7,7,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2109,313,47,89,177,0.17,0.17,0.13,6,9,14,4,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2110,290,141,105,44,0.24,0.18,0.21,13,7,6,7,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
2111,359,138,113,108,0.19,0.18,0.13,13,8,10,4,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2112,295,103,110,82,0.2,0.19,0.11,10,11,10,5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2113,240,62,96,82,0.21,0.21,0.23,9,8,10,7,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2114,246,91,40,115,0.1,0.1,0.14,11,6,13,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2115,248,35,104,109,0.24,0.24,0.28,5,11,12,7,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2116,325,93,148,84,0.16,0.16,0.13,8,13,11,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2117,343,159,77,107,0.18,0.17,0.09,12,9,9,4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2118,321,156,92,73,0.3,0.26,0.26,14,9,4,7,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2119,292,70,89,133,0.22,0.2,0.16,8,9,11,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2120,276,40,154,82,0.25,0.25,0.22,8,13,10,6,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2121,280,94,112,74,0.27,0.23,0.23,7,11,9,8,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2122,298,145,91,62,0.21,0.21,0.14,12,10,6,5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2123,240,68,81,91,0.29,0.23,0.2,8,9,10,7,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
2124,276,83,102,91,0.24,0.19,0.07,10,9,12,6,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2125,314,131,84,99,0.11,0.11,0.04,11,11,10,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2126,322,91,134,97,0.07,0.07,0.13,12,14,12,4,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2127,350,116,132,102,0.16,0.11,0.03,9,10,9,4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
